KO ID,Domain,Title,Controlled Rule,Category,Status,Production Eligible,Regulatory Reference,Dependencies,File,Word Count,Rule Hash
LF-011,Literature Foundation,Knowledge Source Governance,"Regulatory guidance, Client SOPs and approved ClinixAI Knowledge Objects shall govern all AI-assisted literature decisions. The LLM shall not create, modify or infer regulatory rules beyond the approved knowledge repository.",AI Governance,Approved,True,"GVP Module VI, ClinixAI",,01_Literature_Foundation/LF-011.md,1394,002c8dbc817d060094e0b7ec92c14eb6447f2728b192ba0eb2de275a3ea76db3
LF-012,Literature Foundation,Literature Search Frequency,"The default literature monitoring frequency shall be Weekly. However, the Literature Calendar shall support Daily, Weekly, Monthly and Custom schedules according to client SOPs, regulatory commitments or product-specific requirements.",Business Rule,Approved,True,GVP Module VI,LF-011; LF-004; LF-014,01_Literature_Foundation/LF-012.md,1476,dc6e8fa5de25f977ae77726d3ce1d8b76dc630e77ac740b650ed75e3aede2726
LF-013,Literature Foundation,Literature Source Activation,"Literature sources shall remain inactive until configured, validated and approved through the Admin Console. Only approved sources shall participate in production HIT generation. Pre-configuration activities shall not affect production searches.",Business Rule,Approved,True,ClinixAI,LF-011,01_Literature_Foundation/LF-013.md,1384,46cac947f0ca7373892a5fb59e272bcc159bc0d24b6a7789c1ef6c5527a0005e
LF-014,Literature Foundation,Search String Versioning,Every approved search string shall maintain complete version history. Previous approved versions shall remain permanently available for audit and comparison but shall not be editable after approval.,Business Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-014.md,1503,2b61cebbff1713bbc580ef9b1a0883073b4fbf2f8e6ad7ca0c81ca340fdbe114
LF-015,Literature Foundation,Search String Validation,AI-generated search strings shall undergo review and approval by an authorized user before production use. Every approved version shall remain linked to the associated Product Search Profile and approval record.,Validation Rule,Approved,True,"GVP Module VI, ClinixAI",LF-011; LF-004; LF-014,01_Literature_Foundation/LF-015.md,1529,9fdf2638c7f518f2d58ee0bc4ec1c841693ed3b2f15b071d16befcf675c34b60
LF-016,Literature Foundation,Product Search Coverage,"Search strategies shall maximize recall by incorporating Brand Name, Generic Name, API, INN, Salt Forms, approved Synonyms, approved Abbreviations and relevant product terminology maintained within the Client Product Master.",Business Rule,Approved,True,GVP Module VI,LF-011; LF-004; LF-014,01_Literature_Foundation/LF-016.md,1512,c53c7b6c8d8523fbaba49755dae8ae62ea7963ce650f31c57ab36e446f32e0fc
LF-017,Literature Foundation,Literature Calendar Versioning,"Every approved modification to the Literature Calendar shall generate a new version while preserving previous approved schedules, effective dates, approval history and audit information.",Business Rule,Approved,True,GVP Module VI,LF-011; LF-004; LF-014,01_Literature_Foundation/LF-017.md,1427,1ac300c4993aa3b3034245d1e53676492c91b8eed55453ea2f115fa038807651
LF-018,Literature Foundation,Missed Search Detection,"The system shall continuously monitor scheduled literature searches. Missed, failed or delayed executions shall automatically generate dashboard notifications and audit entries for authorized users.",Workflow Rule,Approved,True,GVP Module VI,LF-011; LF-004; LF-014,01_Literature_Foundation/LF-018.md,1469,96a2d262fe05cb9933d06d6b11a69d747c4ea79b21a85707f4b0ce1e0d7b8a15
LF-019,Literature Foundation,Manual HIT Generation,"Authorized users may manually initiate HIT generation outside the approved Literature Calendar. Manual executions shall be clearly identified, timestamped, attributed to the initiating user and retained within the audit trail.",Workflow Rule,Approved,True,ClinixAI,LF-011,01_Literature_Foundation/LF-019.md,1409,ec3a8293a395f7526516de00a75ad130e2077f4a0b77efde2babafc886aeda00
LF-020,Literature Foundation,Zero HIT Documentation,Every scheduled or manual literature search shall generate an execution record regardless of the retrieval outcome. Searches returning zero articles shall be retained with complete execution metadata and a Zero HIT status for regulatory traceability.,Business Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-020.md,1418,378882ee72ac8220138e2f2b0761d6831e2d3989e1a22542b4b7c31b9b721a4c
LF-021,Literature Foundation,Search Evidence Package,"Every literature search execution shall generate a Search Evidence Package containing the approved search strategy, executed database-specific queries, searched sources, execution timestamps, retrieved article count, execution logs, search outcome and supporting audit metadata. The Evidence Package shall be retained for inspection and regulatory traceability.",Business Rule,Approved,True,"GVP Module VI, ClinixAI",LF-011; LF-004; LF-014,01_Literature_Foundation/LF-021.md,1526,29d72dcd9e6a58244ab73f20d4cea8d6ddf5945ea9f8fdc89326755abf92094b
LF-022,Literature Foundation,Review Workspace Creation,"One Review Workspace shall be created for every unique retrieved literature article (PMID/DOI/Article). The workspace represents the article, not an individual patient. Patient-level extraction shall occur after screening during the Review stage.",Workflow Rule,Approved,True,ClinixAI,LF-011,01_Literature_Foundation/LF-022.md,1413,596edc99fb5dc6d2dae9777678963b8c8b5bbbd3f547def88866c70416994ac4
LF-023,Literature Foundation,Product Identification,"Before any literature assessment begins, ClinixAI shall identify all potential company products by recognizing Brand Name, Generic Name, API, INN, Salt Forms, approved Synonyms and approved Abbreviations appearing within the article.",AI Rule,Approved,True,"GVP Module VI, ClinixAI",LF-011,01_Literature_Foundation/LF-023.md,1419,bead520c75423f33b4def5a8270f4389d512e420591d4870f7ad330d4cc39e6b
LF-024,Literature Foundation,Product Master Matching,Every identified product shall be normalized and matched against the Client Product Master before screening or regulatory assessment. Only products recognized within the Client Product Master shall proceed through company-specific evaluation workflows.,Business Rule,Approved,True,ClinixAI,LF-011,01_Literature_Foundation/LF-024.md,1418,1b7a812368da42e28fc05c3a64ae75ab6a3f7fe77907b6399c7e711506712199
LF-025,Literature Foundation,Literature Type Classification,Product lifecycle information maintained within the Client Product Master shall determine whether literature is processed as Post-Marketing Surveillance (PMS) or Clinical Trial literature. Investigational or Clinical Trial status shall override PMS classification whenever applicable.,Decision Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-025.md,1386,55d7000a5a06b3f63603c990937ed06ea99b2926aa850de664d96197e4b5dc65
LF-026,Literature Foundation,Primary Reporter Identification,"The first publication author shall be treated as the Primary Reporter. If unavailable, the Corresponding Author shall become the Primary Reporter. If neither can be determined, reporter identification shall follow the approved reporter hierarchy.",Decision Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-026.md,1432,1f898927ac073e4d44c16f4789a004fb5145a5db62e0b1ee1d981ba20674fd12
LF-027,Literature Foundation,Multi-Patient Article Principle,"A single literature article may describe zero, one or multiple potentially reportable patients. Patient extraction and case segmentation shall occur during Review and shall never be performed during HIT generation.",Workflow Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-027.md,1425,c4f19839b9af94164772c178403d63bd1c1936da45280ad254e56450f8c113f0
LF-028,Literature Foundation,AI Search Responsibility,"ClinixAI AI shall execute literature searches according to the approved Literature Calendar, Search Profile and configured Source Router. AI shall not independently determine search frequency, select literature sources or modify approved search strategies.",AI Boundary,Approved,True,ClinixAI,LF-011; LF-004; LF-014,01_Literature_Foundation/LF-028.md,1474,46e6046ec5538c2c98379c3917df020d1134f174382f927ee1c5c697b7276140
LF-029,Literature Foundation,Literature Audit Trail,"Every literature workflow activity—including search execution, article retrieval, deduplication, screening, reviewer actions, overrides, review outcomes and intake decisions—shall be permanently recorded with user identity, timestamps and version information. Audit records shall be immutable.",Business Rule,Approved,True,"ALCOA+, GVP Module VI",LF-011,01_Literature_Foundation/LF-029.md,1427,c60217a4161abd49b2fa630093a2d3f6f3f71a12279edb2f1c72b055eef49915
LF-030,Literature Foundation,Literature Workflow Principle,"Every retrieved article shall progress through the standardized workflow: Search → HITs → Screening → Review → Intake. No article shall bypass an approved workflow stage. Each transition shall be fully traceable, auditable and reproducible.",Workflow Rule,Approved,True,ClinixAI,LF-011,01_Literature_Foundation/LF-030.md,1410,71195edf92d61b2419dd7b91bd861d4cf51235d6a282a237739340b12c7ac1b9
SI-001,Search Intelligence,Search Strategy Objective,The objective of every literature search strategy is to maximize retrieval of potentially reportable safety literature while maintaining an operationally manageable review workload. Search strategies shall prioritize patient safety and regulatory completeness over search efficiency.,Core Search Principle,Approved,True,"GVP Module VI, ClinixAI",LF-004; LF-015; LF-016,02_Search_Intelligence/SI-001.md,1493,4abc2e935dc15e4acba297e37dad53766e60dbec39a4e4cbc36343062337c2b7
SI-002,Search Intelligence,Recall Over Precision,"Literature search strategies shall prioritize recall over precision. Retrieving additional non-relevant articles is preferable to missing potentially reportable safety literature, as failure to retrieve a reportable article represents a greater pharmacovigilance risk.",Core Search Principle,Approved,True,GVP Module VI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-002.md,1399,a163664b1c17058948992bc30a47c4da4be39af6043d065f878b66cb27a6214d
SI-003,Search Intelligence,Product Expansion Rule,"Before constructing a search strategy, every monitored product shall be expanded using the Client Product Master to include Brand Name, Generic Name, API, INN, Salt Forms, approved Synonyms and approved Abbreviations. Search generation shall utilize the complete expanded product profile.",Search Rule,Approved,True,ClinixAI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-003.md,1440,c5bbe633948081db809c528cef8d62fe6ef5da2bccf14d0e5ad97056cbcc2e2c
SI-004,Search Intelligence,Safety Concept Expansion,"Search strategies shall expand safety concepts using approved adverse event terminology, medically important events, special situations and regulatory safety concepts appropriate for the search objective. Safety concept expansion shall maximize retrieval without compromising scientific validity.",Search Rule,Approved,True,"GVP Module VI, ClinixAI",LF-004; LF-015; LF-016,02_Search_Intelligence/SI-004.md,1403,c9be7bc98527c1fd6086e4762a6000b118b9d4c4846b342dc57b72d5f9118ced
SI-005,Search Intelligence,Boolean Construction,"Search strategies shall correctly utilize Boolean operators (AND, OR, NOT), grouping symbols and database-supported logical operators to preserve search intent while maximizing retrieval performance. Invalid Boolean construction shall not be permitted for production searches.",Search Rule,Approved,True,Information Retrieval Best Practice,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-005.md,1439,72a84b55e352554689991609c227543c258636aef118fb5f5c3035cb38f3f290
SI-006,Search Intelligence,Broad First Strategy,"Search strategies shall initially employ broad retrieval logic. Restrictive filters, limits or exclusions shall only be introduced when scientifically justified, operationally approved or required by database limitations. Broad retrieval remains the default strategy.",Search Rule,Approved,True,GVP Module VI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-006.md,1399,bdcad12936a857d7eee7eac01b2e5a2ff404ed9d5d95e12f240575f682a49210
SI-007,Search Intelligence,Search Strategy Explainability,"ClinixAI shall provide an explanation describing the purpose of every major search block, including product terms, safety concepts, Boolean logic and applied filters. Search strategies shall remain understandable, reviewable and explainable before approval.",AI Governance,Approved,True,ClinixAI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-007.md,1484,1c95e412beec4767a235d9c72c1a702c5f11787c35e56be8eb5896f08ec0e124
SI-008,Search Intelligence,Search Strategy Validation,"Every AI-generated search strategy shall undergo human validation before production use. Validation shall confirm completeness, correctness, regulatory suitability, search logic and alignment with approved monitoring objectives.",Validation Rule,Approved,True,GVP Module VI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-008.md,1533,a51c49f4fe864b37f5c85b19aa2daf0261e813dd40ec6ebc2d9768eb08d03a6e
SI-009,Search Intelligence,Search Strategy Version Control,"Every approved search strategy shall maintain complete version history. Previous approved versions shall remain permanently available for audit, comparison and regulatory inspection while remaining protected from modification.",Business Rule,Approved,True,GVP Module VI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-009.md,1521,851c7edbb248fb2104566ddedfe54f670a2923092b457c665807baf1354e9373
SI-010,Search Intelligence,Search Strategy Regeneration,"Any approved modification to the Client Product Master, literature monitoring requirements, regulatory guidance or approved business rules shall trigger regeneration and revalidation of the associated search strategy before production deployment. No outdated strategy shall remain active following an approved knowledge change.",Workflow Rule,Approved,True,ClinixAI,LF-004; LF-015; LF-016,02_Search_Intelligence/SI-010.md,1492,c0f80a744f0cf25475394123dfabb73c4925485d26b6f90763fa84f711d3b483
DB-001,Database Search Engineering,PubMed Primary Database,"PubMed shall be treated as the primary biomedical literature database for literature monitoring unless client requirements, regulatory obligations or product-specific agreements require additional or alternative literature sources.",Database Rule,Approved,True,GVP Module VI,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-001.md,1459,054f1265be332a20f46de440db5d4261de69cfe7baf85578b0b57fe004d22bdb
DB-002,Database Search Engineering,Database-Specific Search Syntax,Every approved search strategy shall be translated into the native syntax supported by the target literature database. Search logic shall remain equivalent even when database syntax differs.,Search Rule,Approved,True,ClinixAI,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-002.md,1474,c7150e2f40b4f9e1b28195c9c01ce9ef748083f96443b3b85a30356ef33834b2
DB-003,Database Search Engineering,Field Tag Optimization,"Where supported, database field tags (e.g., Title, Abstract, MeSH Terms, Keywords, Author, Journal) shall be used to improve retrieval while preserving the approved search objective and maximizing recall.",Search Rule,Approved,True,PubMed Best Practice,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-003.md,1395,4ab1a9a84fa23fc5413348b99e6f78d675247b1351d8039a2c5e9e9226274060
DB-004,Database Search Engineering,Controlled Vocabulary Utilization,"Controlled vocabularies (e.g., MeSH in PubMed, Emtree in Embase) shall complement, but never replace, free-text searching. Controlled vocabulary shall enhance retrieval while ensuring newly indexed or unindexed articles are not missed.",Search Rule,Approved,True,PubMed / Embase Guidance,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-004.md,1398,23009dd305bbd7ea018074dfc5de39aade10c788ff54e69eeb309984217968fe
DB-005,Database Search Engineering,Free-text Searching,"Free-text search terms shall always be incorporated into literature search strategies to retrieve recently published articles, non-indexed publications and records lacking controlled vocabulary assignment. Free-text searching is mandatory for maximizing recall.",Search Rule,Approved,True,GVP Module VI,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-005.md,1482,63e841285413e51b296cb25f1ba64f234f6ba40889a7fa5c231a43fd30647477
DB-006,Database Search Engineering,Automatic Term Mapping Awareness,"Where a literature database performs Automatic Term Mapping (ATM), ClinixAI shall recognize and consider the mapped behavior during validation. However, production search strategies shall never rely solely on ATM for regulatory retrieval.",Database Rule,Approved,True,PubMed Documentation,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-006.md,1441,55af54965f2969a53d0073ce8784ee60ed532915ba78d5e56429882341c65b62
DB-007,Database Search Engineering,Search Translation Engine,"ClinixAI shall automatically translate approved search strategies into the syntax required by each supported literature database while preserving the original search objective, logical structure and retrieval intent.",AI Rule,Approved,True,ClinixAI,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-007.md,1521,f09cd4df770b471870049e1142f4e5931ce04e9751fc403fac2803c70de845c2
DB-008,Database Search Engineering,Database Capability Awareness,"Search generation shall recognize database-specific capabilities and limitations including supported field tags, controlled vocabularies, truncation rules, wildcard behavior, phrase searching, proximity operators and available filters before constructing the final query.",AI Rule,Approved,True,ClinixAI,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-008.md,1458,d8547be0d57f21049d08e560946d533d5265cd4de9994e5ad5c0f77b024824f2
DB-009,Database Search Engineering,Search Equivalence Validation,"Whenever a search strategy is translated between literature databases, ClinixAI shall validate that the translated query preserves the original search objective, logical intent and expected retrieval behavior. Any material deviation shall require reviewer approval before production use.",Validation Rule,Approved,True,ClinixAI,SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-009.md,1540,e4e57f163824199e5f02ccb9814938a2cf51b3ba858a177f607bab71df3875ff
DB-010,Database Search Engineering,Database Search Evidence,"Every database-specific query executed during literature monitoring shall be stored as part of the Search Evidence Package, including executed syntax, database name, execution timestamp, retrieval count, execution status and corresponding Search Profile version for complete auditability.",Business Rule,Approved,True,"GVP Module VI, ClinixAI",SI-005; SI-008; LF-021,03_Database_Search_Engineering/DB-010.md,1524,d174e195127739014c957cc938b654d953a46fa7b9fd82059bde1678cd6a1018
SDI-001,Screening Decision Intelligence,HIT Neutrality Principle,"Every article retrieved through an approved literature search strategy shall enter the HIT queue irrespective of publication type, language, journal, study design or scientific quality. No inclusion or exclusion decision shall be performed during HIT generation. HIT generation is a retrieval process, not a regulatory decision process.",Core Screening Principle,Approved,True,"GVP Module VI, ClinixAI",LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-001.md,1471,816966027e4d0ecbe06e7bc77716f035cb7fad2da7a14d2a4b852df72f2cd00f
SDI-002,Screening Decision Intelligence,Publication Classification,"During Screening, every article shall be classified into its publication type (e.g., Case Report, Case Series, Clinical Trial, Observational Study, Review Article, Meta-analysis, Conference Abstract, Editorial, Letter, Animal Study, In-vitro Study, Registry Study, Database Analysis, etc.). Classification shall support downstream decision-making and shall not independently determine inclusion or exclusion.",Screening Rule,Approved,True,GVP Module VI,LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-002.md,1436,760bcb8d4b0485a2e1cb08a8077bb8aa9422461c47c11a9c18dc202f4f9082f8
SDI-003,Screening Decision Intelligence,Screening Decision Engine,"Article progression shall be determined only after evaluation against publication type, inclusion criteria, exclusion criteria, validity criteria, identified company product, active MAH status, Country of Incidence (COI) and applicable approved business rules. Screening decisions shall be deterministic wherever possible.",Screening Rule,Approved,True,"GVP Module VI, ClinixAI",LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-003.md,1422,539aa72bd8a3daaf90eba3aefcc6693a209499e14b806b45f130ebc339e8bb74
SDI-004,Screening Decision Intelligence,Active MAH Verification,"Screening shall verify whether the identified Brand Name, Generic Name, API or INN belongs to an active Marketing Authorisation Holder (MAH) product according to the Client Product Master. Only products with an active MAH in the determined COI shall proceed as potential client-valid literature cases.",Business Rule,Approved,True,GVP Module VI,LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-004.md,1498,3460f4018703ee91000a02bfd48f6c7efebac7f94c59b262cb65ab313966b35c
SDI-005,Screening Decision Intelligence,Product Lifecycle Verification,Screening shall determine whether the identified company product is marketed (Post-Marketing Surveillance) or investigational (Clinical Trial) using the Client Product Master. Product lifecycle classification shall determine the applicable literature processing pathway.,Decision Rule,Approved,True,GVP Module VI,LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-005.md,1452,84ce1dfb6ff5a7cadb0750d0ae685675300d7a488d298fea8cc726abc484872f
SDI-006,Screening Decision Intelligence,Publication Type Independence,"Publication type alone shall never determine inclusion or exclusion. Every publication type shall be evaluated using its applicable inclusion criteria, exclusion criteria, validity criteria and approved business rules before a screening recommendation is generated.",Screening Principle,Approved,True,ClinixAI,LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-006.md,1420,4d86978dc010c94e79861212c26af4104189b372ca1fbb1429c2e05ffca3e04c
SDI-007,Screening Decision Intelligence,Deterministic Screening,"Wherever structured data, validated dictionaries or approved business rules can determine a screening decision, they shall take precedence over Large Language Model reasoning. AI reasoning shall supplement, not replace, deterministic regulatory logic.",AI Governance,Approved,True,ClinixAI,LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-007.md,1446,a172948aa3a3e617c89edece79fa84e6232618f633637190a23a4daf1e3eea37
SDI-008,Screening Decision Intelligence,Evidence-Based Screening,"Every screening recommendation shall be supported by explicit evidence identified within the literature article or an approved knowledge source. ClinixAI shall not infer, assume or fabricate missing regulatory evidence. When evidence is insufficient, the corresponding output shall be reported as Unknown or escalated for manual review according to approved business rules.",AI Boundary,Approved,True,"GVP Module VI, ClinixAI",LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-008.md,1468,ae320ff8ac568432080a2b3239dd0887e24e37635c2ae069c0dda6a5c93bd39a
SDI-009,Screening Decision Intelligence,Reviewer Override,"Authorized reviewers may override AI-generated screening recommendations. Every override shall require documented justification, reviewer identity, timestamp and complete audit trail. The original AI recommendation shall remain permanently preserved for inspection.",Workflow Rule,Approved,True,"GVP Module VI, ALCOA+",LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-009.md,1409,006f15f3fedb781af27bad7c9c81bb4e0d0e0f465281cc979f8ead57e402b4eb
SDI-010,Screening Decision Intelligence,Explainable Screening,"Before reviewer confirmation, ClinixAI shall present the supporting evidence, applied business rules, identified products, publication classification, validity assessment, MAH verification and rationale supporting every screening recommendation. Every regulatory decision shall be explainable using approved knowledge sources. If explainability cannot be established, the recommendation shall not be considered final.",AI Governance,Approved,True,"GVP Module VI, ClinixAI",LF-023; LF-024; OI-001; VAL-001,04_Screening_Decision_Intelligence/SDI-010.md,1430,7a6aa33f466d12737fd544c1b355796fb5b0e8fd0978f9ee7db420d709fcf739
OI-001,Output Intelligence,Country of Incidence (COI) Determination,"For literature cases, ClinixAI shall determine the Country of Incidence (COI) using the approved COI hierarchy. COI shall represent the country where the adverse event or special situation occurred and shall be used for all downstream regulatory assessments.",Core Output Principle,Approved,True,ClinixAI Literature Standard,LF-022; LF-029,05_Output_Intelligence/OI-001.md,1510,4381a19f4e997f96af7fb629fca4e8be94657dda1d387ff4cfaba51230332448
OI-002,Output Intelligence,COI Determination Hierarchy,"COI shall be determined in the following order: (1) Patient country explicitly stated in the article; (2) If the patient experienced the event while travelling, the country where the event occurred; (3) Primary reporter's working country; (4) If unavailable, determine the reporter country from affiliation, organization, university or address; (5) Secondary reporter using the same hierarchy; (6) Article publication country. Each determination step shall be recorded in the audit trail.",Decision Rule,Approved,True,ClinixAI,LF-022; LF-029,05_Output_Intelligence/OI-002.md,1529,fa178ceaf2cfd0293cda76a230b0f0020decf0d328d5d20197e9c1962117a5aa
OI-003,Output Intelligence,Reporter Country Resolution,"When the reporter's country is not explicitly stated, ClinixAI shall derive the country from institutional affiliation, hospital, university, organization, postal address or geographic information. The resolved country and supporting evidence shall be presented to the reviewer.",AI Rule,Approved,True,ClinixAI,LF-022; LF-029,05_Output_Intelligence/OI-003.md,1487,cdde5c729c9a6987851a68c352b78c4a78277e855c8f60cdeb72eb5febf4e69d
OI-004,Output Intelligence,Safety Information Definition,"For literature screening, Safety Information shall be defined as: Identifiable Patient + Adverse Event, Identifiable Patient + Special Situation, or Identifiable Patient + Adverse Event + Special Situation. Articles not meeting this definition shall not be classified as containing safety information.",Core Regulatory Principle,Approved,True,"GVP Module VI, ClinixAI",LF-022; LF-029,05_Output_Intelligence/OI-004.md,1390,909483396c3c9bace5b1387041019241fb2a96181edcd1075a2f2a058018dfa1
OI-005,Output Intelligence,Full-Text Acquisition,"Whenever a full-text article is freely available, ClinixAI shall retrieve and preserve the complete publication as part of the Evidence Package. Full-text shall always take precedence over abstract-only information when both are available.",Workflow Rule,Approved,True,GVP Module VI,LF-022; LF-029,05_Output_Intelligence/OI-005.md,1436,ea820ad23ac77b9c4f473d2075a7f3ad6f5e6ff40cdbb51f6c523d02dbdb5ccf
OI-006,Output Intelligence,Full-Text Request Workflow,"If the full text is unavailable but the abstract indicates that full-text review is required to determine the existence of an adverse event, special situation or case validity, ClinixAI shall generate a Full-Text Request. The request shall be routed to the MAH or client for procurement. The article shall remain pending until the full text is available or an authorized decision is recorded.",Workflow Rule,Approved,True,ClinixAI,LF-022; LF-029,05_Output_Intelligence/OI-006.md,1466,faef2c39e6e601e7d646ad5f4660b1e2012685a3419790dedb2b02f8e005abb2
OI-007,Output Intelligence,Original Language Preservation,The original publication language shall remain the regulatory source document. AI-generated translations shall support reviewer understanding but shall never replace or overwrite the original publication. Both the original language and translated version shall remain linked within the Evidence Package.,AI Boundary,Approved,True,GVP Module VI,LF-022; LF-029,05_Output_Intelligence/OI-007.md,1439,c661514e4d69986bcbdbe61dcaffe63c38c59405219a2e7ebe6897ab39c77e3e
OI-008,Output Intelligence,Confidence Score & Unknown Handling,"Every extracted output shall include a confidence score generated by ClinixAI. When required evidence cannot be confidently identified, the corresponding field shall be populated as Unknown rather than inferred. Multiple Unknown outputs shall increase the recommendation for manual verification.",AI Governance,Approved,True,ClinixAI,LF-022; LF-029,05_Output_Intelligence/OI-008.md,1387,97445e2985562cecd9a23a44f727ad116790605a3de448d995a9da4ebe86d90e
