KO ID,Status,Approval Basis,Source File,Regulatory Reference,Reference Precision,Rule Hash
SDI-002,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,760bcb8d4b0485a2e1cb08a8077bb8aa9422461c47c11a9c18dc202f4f9082f8
SDI-003,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,539aa72bd8a3daaf90eba3aefcc6693a209499e14b806b45f130ebc339e8bb74
SDI-004,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,3460f4018703ee91000a02bfd48f6c7efebac7f94c59b262cb65ab313966b35c
SDI-005,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,84ce1dfb6ff5a7cadb0750d0ae685675300d7a488d298fea8cc726abc484872f
SDI-006,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,4d86978dc010c94e79861212c26af4104189b372ca1fbb1429c2e05ffca3e04c
SDI-007,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,a172948aa3a3e617c89edece79fa84e6232618f633637190a23a4daf1e3eea37
SDI-008,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,ae320ff8ac568432080a2b3239dd0887e24e37635c2ae069c0dda6a5c93bd39a
SDI-009,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ALCOA+",Reference family preserved; formal section-level citation validation pending,006f15f3fedb781af27bad7c9c81bb4e0d0e0f465281cc979f8ead57e402b4eb
SDI-010,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,7a6aa33f466d12737fd544c1b355796fb5b0e8fd0978f9ee7db420d709fcf739
OI-001,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI Literature Standard,Reference family preserved; formal section-level citation validation pending,4381a19f4e997f96af7fb629fca4e8be94657dda1d387ff4cfaba51230332448
OI-002,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,fa178ceaf2cfd0293cda76a230b0f0020decf0d328d5d20197e9c1962117a5aa
OI-003,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,cdde5c729c9a6987851a68c352b78c4a78277e855c8f60cdeb72eb5febf4e69d
OI-004,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,909483396c3c9bace5b1387041019241fb2a96181edcd1075a2f2a058018dfa1
OI-005,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,ea820ad23ac77b9c4f473d2075a7f3ad6f5e6ff40cdbb51f6c523d02dbdb5ccf
OI-006,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,faef2c39e6e601e7d646ad5f4660b1e2012685a3419790dedb2b02f8e005abb2
OI-007,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,c661514e4d69986bcbdbe61dcaffe63c38c59405219a2e7ebe6897ab39c77e3e
OI-008,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,97445e2985562cecd9a23a44f727ad116790605a3de448d995a9da4ebe86d90e
OI-009,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,6cda63fac76a6de80ed8529aa57273714dade538e0d4da970517a298e7e1a328
OI-010,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,825b20a469b38c6d82e9717dde733a7a9e0c612e3bf299adf1c018df203dc011
VAL-001,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,3c8ecf2990815f3d3a84c9d561579ce7987832f0f249aa3a3a9518d12e861819
VAL-002,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,6019a2c8597b96aa78199b595ec33fae02df0e5ebf3031535cb5ddd3ee8dd382
VAL-003,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,744a0ee5a8a8769ea88b64bb79ec94b5e36f671dd718076f104e3e9c856c766e
VAL-004,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,86c00cf02c82e4f20158645c2012bd0a62508f0b6294ee5f765c4c4da79af0fb
VAL-005,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,be37cf2f7854af14d67f29b61900925a3e7e3d84e4b0aaacb86ba677a15255e9
VAL-006,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,2b9d90736a20ce8354d6f8fadc25a7330aadc333e00049ac2054152cdc384d37
VAL-007,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, Data Privacy Principles",Reference family preserved; formal section-level citation validation pending,1f3cd5d6faab999c7337dd988a3920be11b43d1b8a94e79a06c974ec3bc2131d
VAL-008,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,381c8c2f504aa3c1ca34f9ea307b96974eda83691483ecf4134f13c547e4db00
VAL-009,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"IME List, CTCAE, GVP Module VI",Reference family preserved; formal section-level citation validation pending,caab5f2b4b57c47678797db3061e0e910262f8cfdeb3e0f661092301fda9b0d7
VAL-010,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,111a06223358e83d6f69f4e93ebace2e23629f402aca98de0ef03470bba0af19
CDS-001,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,278938f2bca323e2897c67c0593d351ce15e53d6d9c36ac5ce972f4adb7f4c05
CDS-002,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,1944754ee89fe552307a42184e83408d60bf877cb66bcf5b0af504c63c8bbdc0
CDS-003,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,5b984b861e86adc487820187d318fa77d84b34ba6cc8ae57c27ebbfd6ce2f810
CDS-004,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,e6f4610ab9a0d489293945a18fe9f4ebeff67623e32b4c600d027b6505a95e76
CDS-005,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,368c9fb85a0bb6058f1c876f37931a5d31c5e25b34c421e12acee6790fb68feb
CDS-006,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,6984098122dfa559473d08624b86a2c2d548079506cb949bff782931a06f6963
CDS-007,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,ba1a4407876a2eb59b29f50fb381bd2896f665ae429a7c8f3c5b60f0a4f273c6
CDS-008,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,ba73646930736570e3c766276779ac9f1b6adb2b47b765dba44bd481d301084a
CDS-009,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,195d83a1b3685934eb2c1c6527f304dde5ce7206fadb5c18a05471a77a4ddc2d
CDS-010,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,b8379cf97b6d6f4d72a772be2b2d1a2bea4f0b543034f23eced5e4f034d19fd7
CDS-011,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,1636a31e5b15deb77e0fe995d8c1ff79cc78f86c0a6cfa339160d82d15ec0ed2
CDS-012,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,0334d7ddd9bafb3054517c0a4a5568589e731228c6149bef9144dc70341c1516
CDS-013,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,a0912a94f5e6e593bafc7ea0d09f3e4614c78fe347337425b52d2357459967ad
CDS-014,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,55e36c06667924249f8b0bbc86bfe1be842b483aa02a905e0c8972004e932077
CDS-015,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,311b14eac0704f2b6e8c4cc4a5fb4d9aa262bd6d6894e5906c214c262b5ff1a2
CDS-016,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,dc0624fa13da5c6233748b301e15448add5e1a934d1dbf5ad76dc73b9a2bcee1
CDS-017,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,0dc3314530c9a0fbbafc315c2bd7cfeb0547123fd0569c9921ce674dfefa3069
CDS-018,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,8bccd0824a144f192c54299838e50682b05aebc57d2f1a6549b831e088390a91
CDS-019,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,687cf9946964931c0b5ca9b681955c75ae9df26523056603bf210300ec198f01
CDS-020,Draft – Requires Approval,Derived from prior ClinixAI governance discussions; not represented as part of the approved 80-KO register,Current governed repository build,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",Reference family preserved; formal section-level citation validation pending,e0c95d0ce24cf293361d4621f4dd50e417a4742e8bc5f37a7b3144aced128034
